id_of_tweet,cleaned_text,sentiment
725,Israel is experiencing its own 911. There is no both sides to this attack. Hamas is a terrorist group mass murdering hundreds of innocent Israelis and taking women and children hostage. The U.S. must stand ready to provide Israel with the support it needs to defend itself,1
718,Republicans Are holding up the nominee for ambassador to Israel Are holding up over 300 military officials. Dont even have a Speaker meaning the House is stalled They are causing chaos.,0
716,Allahu Akbar! Just now outside of Toronto Hamas supporters are out celebrating the recent terror attacks in Israel that have left 300 dead.,1
714,Israel's battle is your battle.,1
711,Hamass surprise terrorist attack by air land and sea is Israels 911. Losing 600 Israelis is the equivalent of losing about 20000 Americans. If you murder wound rape and abduct civilians and children as Hamas has done you are not a militant.You are a terrorist.,1
709,You cant send 6 billion dollars to Iran and pretend to stand with Israel. Impossible.,0
707,IsraelPalestine isn't a complex conflict. Was Vietnam complex? Was independence of African states complex? Palestine is a colonized nation. Freedom means full decolonization full stop.,-1
695,That's from algeria. Neither from Israel nor Palastine.,0
692,The Biden administration has been enriching Iran from Day Onelifting restrictions and stopped enforcing sanctions. This atrocity against Israel wasnt just predictableit was predicted.,1
690,We are doing our best to keep all of you updated Just know we are doing the best we can. Our hearts are broken but we are strong.,0
689,Celebrations are going on in Iran. No they dont have any festival today nor theyve won any olympics medal theyre celebrating the brutal kiIIing of innocent people of Israel. This isnt about territory but religion..,1
685,JUST IN Its now being reported that Officers from Irans Islamic Revolutionary Guard Corps have been working with HAMAS since August to train terrorists for their complex attack on Israel which involved assaults from the air land and sea. Today the President of Iran,1
670,taeyong said fuck israel,-1
667,Full support to Israel from India,1
659,Israels speciality Terrorizing Palestinian kids.,-1
658,I would bet all the coffee I will ever be able to consume the rest of my life that Hamas was able to carry out such a well planned attack on Israel because of information Donald J Trump sharedsold to others. By the way Americans are confirmed among the dead in Israel.,0
637,TEL AVIV Israeli people donate food and goods for the IDF soldiers deployed. Am Yisrael Chai.Israel,1
614,. onjust asked the key question behind US moral relativism Why is the US supporting Ukraine fighting against Russias occupationyet supports Israels occupationethnic subjugation of Palestinians for the last 57 years?,-1
599,The road in Re'im Israel. A music festival was held there. Hamas terrorists encircled it and opened fire on civilians. Media report that Hamas shot people loaded wounded on pickup trucks and took them to Gaza. They killed heavily wounded and chased after those who tried to run,1
571,Hamas started a war against Israel with the worst massacre of innocent civilians in Israels history. We paid a heavy price but we will restore security to the people of Israel. Full statement from,1
565,Ilhan Omar AOC Cori Bush Rashida Tlaib and the entire SQUAD should be expelled from Congress for their hateful rhetoric towards Israel.,1
560,Thousands of Germans gather in Berlin to show solidarity with Israel. They sang the national anthem of Israel. This makes me emotional. THANK YOU.Israel,1
555,obsessed with jamie lee curtis posting a photo of palestinian children in gaza being terrorized by israel as a way to show support for israel. yall cant even be wrong right,-1
551,Israel Israelunderattack IndiaStandsWithIsrael IsraelAtWar,1
542,She wasn't murdered raped or abused. Footage showed her moments later safe in Gaza. She was taken captive as a bargaining chip to free 1000s Palestinians whom Israel detains without charges evidence or trial aka administrative detention. Both violate int. law!,-1
536,We. Will. Never. Lose. Hope.,0
534,Jamie Lee Curtis makes post in support of Israel with photo of Palestinian children as specified by the photographer herself.,0
526,Israel is the occupier. Palestine is the occupied. No ifs ands or buts.,-1
519,Let me say this as clearly as I can. This is not a moment for any party hostile to Israel to exploit these attacks to seek advantage. My Administrations support for Israels security is rock solid and unwavering.,1
515,Hamas apparently knew how to get around Israels Iron Dome defenses. They probably learned this from Iran. Iran almost certainly got the information from Russia. And who gave it to Russia? Sure looks like it was Donald Trump at the request of Putin,0
499,Justice justice we shall pursue. We will find each and every one of the Hamas animals who did this.,1
498,You can see their injuries hear their cries and feel them trembling from fear as these children are held hostage in their own homes by Hamas terrorists and their parents lie there dead in the next room. These are the terrorists that we are going to defeat.,1
