text,Sentiment
"🇩🇪🇮🇱 The German Chancellor’s entourage in Israel posted a viral video of them “ducking under Hamas missiles” prior to leaving an Israeli airport.
 

 Only problem?
 

 Their dramatic performance ACCIDENTALLY captured people in the background walking around as if nothing was happening. https://t.co/xB6mXJUSYs",Neutral/None
"🇮🇱🇺🇳 BREAKING: ISRAELI airstrikes have killed 17 United Nations employees, and Israel has BOMBED 35 UNRWA facilities in Gaza.
 

 🇮🇱 If Israel is just fighting Hamas, why are they targeting the UN?",Pro-Palestine
I am posting this video again with the disclaimer that it was cut in the end . @piersmorgan @PiersUncensored said right after the end : the comparison is between Hamas and ISIS I am not posting this to score points over Piers . I disagree with Piers about a lot of things . But I… https://t.co/F3tZmn1z0p,Pro-Palestine
"🇮🇱🇵🇸 @Israel claimed they had VIDEO PROOF that Hamas hit the hospital, then they DELETED it after 26 minutes, as it showed NOTHING.
 

 Now, the most sophisticated intelligence operation in the world posted random audio clips &amp; wants you to believe this is proof?
 

 They are lying!",Neutral/None
"🇮🇱 I thought Israel was fighting Hamas?
 

 🇮🇱 What are they targeting women and children?
 

 You have been lied to… https://t.co/f05n4NKEk3",Neutral/None
"🇮🇱 If Israel is ""JUST fighting Hamas"" as they claim...
 

 🇮🇱 Why are they BOMBING Mosques and Churches? https://t.co/G2jNRS2zv7",Neutral/None
"🇮🇱 Why is their an Israeli fighter jet flying above the hospital at the time it was bombed if Israel didn’t bomb it?
 

 🇮🇱 Also why are the Hamas missiles Israel claims hit the hospital all flying in the opposite direction of the hospital?
 

 Israel did it! https://t.co/EE7RsoPtQm",Neutral/None
"🇮🇱 PROPAGANDA 100% EXPOSED
 

 @Israel posted this audio claiming it shows Hamas discussing a failed missile launch that hit the hospital.
 

 Only problem?
 

 The cemetery is FAR TOO CLOSE to the hospital to be the launch site of the rocket barrage video they posted.
 

 Terrible liars! https://t.co/h7EEgbQamy",Neutral/None
"""Hamas this, Hamas that""
 

 Fine. Here's a Palestine WITHOUT Hamas.
 

 And the Palestinians are STILL being murdered and executed.
 

 This was never about Hamas.",Pro-Palestine
"@benshapiro STOP LYING BEN
 

 ❌Israel DELETED their ""video proof""
 ❌You lied about 40 beheaded babies
 ❌Israel’s Digital Spokesperson ADMITTED Israel did it
 ❌Israel warned the hospital to evacuate before bombing
 ❌Hamas couldn’t have leveled the entire hospital with one of their tiny bombs",Neutral/None
"This is Shlomo Ron. When Hamas terrorists invaded his home in Kibbutz Nahal Oz, this 85-year-old frail man had a plan. 
 

 He left his wife, daughters and grandson in the shelter, and went to sit in his living room, waiting for his death. He figured that when terrorists break in… https://t.co/E9WX0q7nb3",Pro-Palestine
"Hamas said Israel bombed a hospital and killed 500 people.
 

 We now have found out that:
 

 1. Israel didn’t do it, it was a misfire by a terror group.
 

 2. The hospital wasn’t bombed, it was a parking lot.
 

 3. There is no evidence that 500 died beyond what Hamas said.
 

 And our media…",Neutral/None
"Video 1: Two female Hamas terrorists waving guns. 
 

 Video 2: The same women pretending to be victims of a bombing while dressed as civilians for the cameras. 
 

 https://t.co/dSK4MvNAwM",Pro-Palestine
"🇮🇱 Israeli military bulldozers are DESTROYING streets right now in the Nour Shams refugee camp in the West Bank.
 

 🇮🇱 Why are they DESTROYING civilian infrastructure if Hamas isn’t in the West Bank? https://t.co/v4Sy68UEV6",Pro-Palestine
"1. Hamas operatives don’t use cell phones, cause they know it’s monitored. They use own telcom incl. handheld transceiver (HT)
 

 2. Hamas operatives don’t specifically say where they fire rockets from. They use numbers or codes
 

 3. is Hamas dumb to say where rocket positions are?",Pro-Palestine
"🇮🇱 They lied to you about beheaded babies.
 🇮🇱 They lied to you about Hamas raping women.
 🇮🇱 They lied to you about Israeli kids in cages.
 🇮🇱 They lied to you about the hospital bombing.
 

 What will they lie about next?",Neutral/None
