id_of_tweet,cleaned_text,sentiment
13,The difference There is no way Hamas rocket can destroy a hospital Everybody knows it was done by Israel but they keep lying to themselves Israel is the real terrorist,-1
20,The killing of thousands of innocent civilians including children in Gaza and the collective punishment of millions of people by cutting off their food water and electricity are crimes against humanity. Hamas' killing of innocent Israelis and taking of hostages is a crime and,0
21,BREAKING Hamas claims it tried releasing additional two hostages yesterday but that Israel 'refused to receive them',0
22,Israel BOMBS civilian building in Gaza! I thought they were just fighting Hamas? Followsource,-1
25,A friend noticed the audio recording that Israeli forces claim to be Hamas operatives is recorded in stereo. Speakers on L and R channels. There is no way audio conversations are recorded in stereo anywhere. Their unit took the audio stream and fucked with it,-1
30,The alleged Hamas intercepted call that Israel realeased as evidence that Hamas BOMBED the Gaza Hospital was EDITED EFFECTS were added the call was DIVIDED on two separate channels meaning it was not intercepted. Another FAKE from Israel!,-1
32,How does a missile that is traveling thousands of miles per hour reach nearpeak altitude fall on a hospital that is just several feet away from its launch site according to the IDFs Hamas audio recordings?,-1
33,Israels Digital Spokesperson who yesterday admitted in a sinceDELETED post that Israel bombed the hospital is now sharing videos from 2022 claiming that it is VIDEO PROOF Hamas bombed their own hospital yesterday! Thank God our enemies are this stupid!,-1
38,Israel is now claiming that the Hamas missile that blew up the Gaza Hospital was fired from two separate locations. It cant be both so which one is it? you are terrible at lying! We all know you did this.,-1
43,Have you ever heard of Hamas or Hezbollah asking YouTube and Facebook to remove videos they don't like? Israel are so insecure and aware that their own behavior is criminal that they censor journalists and critics all over the world and then pretend they're a democracy. Lmao,-1
45,Britains Channel 4 News DEBUNKS ISRAELs fake claim that Hamas bombed the Gaza Baptist Hospital. Someone is going to lose their job for telling this dark truth!,-1
48,The US government has failed to equate Hamas with ISIS so they have moved on to equating Hamas with Putin. This of course will fail once more but it says something major they can only demonize Palestinian armed resistance if its tied to something that is already frowned upon.,-1
49,Hamas military wing We informed the Qataris yesterday evening that we would release the following Israeli civilian captives Nurit Yitzhak ID. 001145416 Yocheved Lifshitz ID. 005236955 for compelling humanitarian reasons and for nothing in return. Israeli gov refused,-1
56,This level of bombardment is insane by any standard! Israel is now flattening Tal AlHawa one of Gaza's affluent areas with most highrise residential buildings completely.,-1
