Tweet,Sentiment,,,,,,
"Who do you think you are? You're unelected, and have no authority to determine EU foreign policy, which is set by @EUCouncil. Europe does NOT ""stand with Israel."" We stand for peace. You do not speak for us. If you've nothing constructive to say, and you clearly don't, shut up.",0,,,,,,
"What I think every time someone gets angry at what Gaza did in retaliation.

Quit being hypocrites. 

#Gaza #Israel #Palestine https://t.co/3Fy9OaD0ek",-1,,,,,,
"Breaking News Israel: US weapons left behind in Afghanistan used to attack Israel.

A high-ranking Israel Defense Forces (IDF) commander said US weapons left in Afghanistan by the Biden administration were found in the hands of Palestinian groups active in the Gaza Strip.

The… https://t.co/AHCYpEIkcO",0,,,,,,
"This might be one of the most important documentaries that anyone can watch right now given current events and escalations between Hamas, Israel, Iran, and the US. 

All wars are bankers wars.

If you are still caught up in the left vs right, Israel vs Palestine, Ukraine vs… https://t.co/1X7oWbwsY5",0,,,,,,
"Share this. 

#Israel_under_attack https://t.co/3oCGHGfN3G",1,,,,,,
"Israel has been terrorizing Palestinians every single Ramadan, Eid, and Christmas for the past 70 years please shut up",1,,,,,,
"🔥🚨DEVELOPING: Middle East Monitor reported that Joe Biden approved the release of $75 million dollar aid to Palestine just hours before the attack on Israel. 

In a quiet move bypassing Republican obstructionism, US Secretary of State Antony Blinken has approved the release of… https://t.co/lYrPwH7enw",0,,,,,,
"🇳🇱 This was Rotterdam today. 

Muslim communities all over Europe are coming out in support of Hamas’ efforts to wage their bloody jihad against Israel and its citizens.

Everyone with a sense of reality can see it coming from miles away: the Muslim
fighting-aged males throughout… https://t.co/ztyinoLHMC",-1,,,,,,
"Remember when Obama sent pallets of cash to terrorist central, his beloved Iran? And now his proxy puppet, Biden, stacked off another 6 billion just weeks ago. Those American taxpayer dollars bought the rockets we witnessed killing innocent Israeli civilians yesterday. #Israel",1,,,,,,
Hamas is claiming Ukraine sold them the weapons they used in the attack today against Israel.  https://t.co/SZ9vAAQIhF,0,,,,,,
"What does Israel's occupation of Palestinians look like?

This former Israeli soldier told @dena how the Israeli army controls every aspect of Palestinians' lives. https://t.co/51jYryt9wL",-1,,,,,,
,,,,,,,
"🚨BREAKING: Minister of Defence of Israel: ""The rules of war have changed, we will cripple Gaza so that it will remember it for the next 50 years."" https://t.co/1stWmfkE5c",1,,,,,,
"BBC doing what they do best: push Israel's narrative. However,  @hzomlot  did a brilliant job of challenging the hypocrisy of the BBC👍👍.  One of the best interviews I’ve seen. 

Please watch the video below 👇

Some key points made my Husam. 
 
▪️Do not under-estimate people's… https://t.co/nFq6RQEeZm",0,,,,,,
BREAKING: Hamas is claiming Ukraine sold them the weapons (US-funded) that they used in the attack today against Israel.,0,,,,,,
"Hamas apparently knew how to get around Israel’s Iron Dome defenses. They probably learned this from Iran. Iran almost certainly got the information from Russia. And who gave it to Russia? Sure looks like it was Donald Trump, at the request of Putin: https://t.co/dDrVhVNWqx",0,,,,,,
��🚨DEVELOPING: The people of Palestine are posting about how President Trump created peace between Israel and Palestine. The world needs President Trump. https://t.co/w7udeOKzam,0,,,,,,
"It looks like a horror movie, but it's near a Kibbutz in southern Israel.

This was a massacre. #Israel https://t.co/PgOMTMIoWJ",1,,,,,,
"Personal Thoughts: 
(not for everyone, feel free to skip)

For the longest time, I struggled with my identity.

A Palestinian kid born inside Israel. Like…wtf. 

Many of my friends refuse to this day to say the word “Israel” and call themselves “Palestinian” only. 

But since I…",0,,,,,,
"Let me say this as clearly as I can.

This is not a moment for any party hostile to Israel to exploit these attacks to seek advantage.

My Administration’s support for Israel’s security is rock solid and unwavering.",1,,,,,,
"FLASHBACK: Trump shared classified intelligence from Israel with Russia - and admitted to it. 

Israeli intelligence feared it would end up in the hands of Iran. https://t.co/5ZyJbVILqC",1,,,,,,
"The over 250 Bodies which have been discovered at the Site of a Music Festival for Peace in Southern Israel reportedly consists of many Foreign Nationals including Americans, Germans, Canadians, and Norwegians.",1,,,,,,
"This isn’t hard to follow:

Trump gave military intel to the Russians. The Russians, who are extremely close allies with Iran, gave it to Iran.

Iran gave that information to Hamas.

Hamas used it to attack Israel.

This is why it intel security matters. Republicans DO NOT CARE. https://t.co/aVBhg3j5C1",1,,,,,,
"WATCH: Blinken finally had to admit that cutting the $6,000,000,000 check to Iran caused Hamas to attack Israel.  https://t.co/LwquVrjK6A",1,,,,,,
"What worries me about the “new war” is that:

The Clinton’s support Israel.
The Obama’s support Israel.
The Biden’s support Israel.
The CIA supports Israel.
The Mainstream Media supports Israel.
The EU supports Israel.
NATO supports Israel. 

Think about that.",-1,,,,,,
