"","id_of_tweet","cleaned_text.x","batch","sentiment","error","created_at","total_interactions_count"
"1",1042,"Hasan spoke nothing but facts today on Israel  Palestine",1,"0","",7,6181
"2",1045,"These little children look into the eyes of armed Israeli soldiers and talk as if fear is their toy and death is their love!     Palestine Palestinian Israel Hamas TelAviv Gaza GazaUnderAttack OperationAlAqsaFlood",1,"-1","",7,2047
"3",1130,"Peace has not existed in Palestine since the beginning of the Israeli occupation. What you want to return to is uncontested violence by Israel.",1,"-1","",7,242
"4",1152,"Willbe sending millions of taxpayers' money and millions of taxpayers' funded military vehicles to the people of Israel just as they did for the pipsqueak in Ukraine?",1,"1","",7,167
"5",1162,"What were the regimes calculations instriking Israel today? It thinks 1. That the popular uprising in Iran has been weakened 2. The Biden admin isnt tough 3. Israeli society is divided 4. Americas political system is in disarray 5. The external Iranian opposition is",1,"0","",7,146
"6",1170,"I'm a loser because I wont send my children to die for Israel",1,"-1","",7,461
"7",1202,"These people saying we need deescalation are frauds. Theyre not talking about Hamas. Theyre saying Israel shouldnt respond.",1,"1","",7,110
"8",1206,"Sunday GoodMorning support Israel",1,"1","",7,44
"9",1214,"Hamas terrorists invaded Israel to kill innocent Israelis specifically targeting women children girls. In light of this heinous attack America must reaffirm our support for Israel our strongest ally in the Middle East. I stand with Israel.",1,"1","",7,70
"10",1249,"BREAKING Medvedev regarding the war between Israel and Palestine Clashes between Hamas and Israel on the 50th anniversary of the Yom Kippur War come as an expected development. This is what Washington and its allies should be busy with. The conflict between Israel and",1,"0","",7,4550
"11",1290,"There is a bizarre analytical tendency to forget that the IsraeliPalestinian conflict is decades old and rooted in real grievances. Or maybe not bizarre it serves a political purpose to ignore that and blame everything on geopolitics Iran wants to sabotage normalization.",1,"0","",7,2536
"12",1292,"Old video shared byon Israel Palestine conflict.",1,"0","",7,1600
"13",1329,"So let me get this straight first this regime gives Iran 6 billion which is being used to start the attack on Israel and now they are defending Israel during the attack? Talk about playing both sides of this conflict. Soon we will be sending 100 billion dollars into it.",1,"1","",7,495
"14",1347,"For generations the Marxist left  Arab Jewish Palestinian Iranian Italian etc  had a basic approach to the PalestinianIsraeli conflict recognition of the selfdetermination rights of both national communities living there. And now this. Onesided hashtags w no content",1,"0","",7,1369
"15",1363,"In any conflict there are usually reasonable arguments for either side but if your reasons come through the language of resentment of victims and oppressors you are a communist and I despise you",1,"0","",7,966
"16",1401,"In 2020 VIX rose for 3 days then collapsed. The timing of recent events seems suspect as it could cause a similar 3 day rise. At this point in 2020 we knew the virus was getting worse but VOL was still crushed into OpEx. A spiraling conflict would fit this scenario perfectly",1,"0","",7,205
"17",1405,"The No campaign set up conflict in Australia then blame the Yes campaign for dividing the nation.This type of leadership is based on fear. Howards apprentices are racist and dangerous.",1,"0","",7,69
"18",1407,"The farleft glorifies the tragedy in Israel for ideological reasons. They often frame the conflict solely as a struggle against colonialism and imperialism painting Israel as the aggressor and Palestinians as the oppressed. This perspective aligns with their broader",1,"1","",7,81
"19",1409,"men will always use war as an excuse to rape women. it happened in every single conflict ever in human history. men are just inherently disgusting vile creatures",1,NA,"The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766",7,110
"20",1411,"Mass mobilization into the army has been announced in Israel. The country is preparing for conflict on several fronts at once. Fox News special correspondent in Jerusalem Troy Ingst reports. The IDF has increased the number of reservists called up for active duty by",1,"0","",7,70
"21",1428,"I wholeheartedly agree with this statement. It effectively highlights the intricate nature of the Israeli conflict and the importance of considering various factors beyond just radical Islamic ideologies. Acknowledging the influence of globalists and leftleaning forces in",1,"0","",7,12
"22",1445,"The Five of Swords in reverse marks a significant shift in the dynamics of conflict and competition in your life. When this card appears upside down it suggests that you are actively working towards resolving conflicts or disputes that have been causing tension. You are",1,"0","",7,1
"23",1454,"Conflict's devastating impact knows no boundaries affecting both lives and infrastructure. It's a grim reminder of the toll of war.",1,"0","",7,17
"24",1487,"Wow calm down. I think today's actions were fucking evil. I also think that the actions of the IDF settlers and the Israeli government has been appalling. Understanding the roots of a conflict is important calling out all aggression and looking for solutions is vital.",1,"-1","",7,0
"25",1507,"Tell us about the conflict when Trump was in office? Educate us! You comment is lame when everyone knows who pays for Humas",1,"1","",7,1
"26",1509,"it's crucial to examine who may benefit from this conflict both within and beyond Israel and who supports Hamas covertly. We must investigate carefully but avoid premature judgments.",1,"0","",7,0
"27",1544,"Brazil aims to prevent escalation of conflict Lula says A statement from Brazils Foreign Ministry reaffirmed a commitment to a twostate solution BRASILIABrazil hopes to prevent escalation of the conflict betweenIsrael and Hamas President Luiz Inacio Lula da Silva",1,"0","",7,0
"28",1549,"The ongoing conflict in middle east is deeply troubling. While the background and interests involved are complex what saddens me the most are the innocent civilians particularly children who become casualties of political agendas. Humanity is losing and the world is watching",1,"0","",7,1
"29",1579,"I dont claim to know whos on the right side in this conflict but certainly islam has a lot to do with their behavior as the entire religion is designed for dominance and warfare",1,"0","",7,0
"30",1603,"Its not a conflict its colonialism.",1,"-1","",7,0
"31",1607,"the Palestinian conflict is ongoing  id think other black ppl would understand this but shes biracial so ig its different. post tha screenshots of u donating sum or stfu",1,"-1","",7,0
"32",1613,"A Final Solution to the IsraeliPalestine conflict.",1,NA,"The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766",7,9
"33",1622,"Remember? Israel wants complete control of Palestinian land UN report  IsraelPalestine conflict News  Al Jazeera",1,"-1","",7,0
"34",1668,"Zero chance to have Iran in the conflict",1,"0","",7,1
"35",1679,"The innocent people of both sides who have zero blame for the conflict.",1,"0","",7,0
"36",1735,"Israel Minister of Defense Yoav Gallant Today we saw the face of evil. The Hamas terrorist organization has launched a brutal attack against the citizens of the State of Israel  attacking men women children and the elderly indiscriminately. Hamas will understand very",1,NA,"The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766",7,25588
"37",1834,"Stop blaming Republicans. Joe biden sent 6 billion to Iran. Which funds Hamas. Joe Biden has blood on his hands.",1,"1","",7,1461
"38",1840,"The Metropolitan Police says it has increased police patrols across London after the Hamas militant group attacked Israel",1,"1","",7,1615
"39",1844,"They think Ukraine should surrender but it's fine for Hamas to attack random civilians and sexually assault women. This isn't resistance. It's barbarism.",1,"1","",7,2570
"40",1854,"I see that SNPs failure of a leader Humza Yousef  issues a statement worrying more about the people of Gaza he knows than condemning the Hamas attack on Israel. I do hope him being a Muslim isnt connected with his view.",1,"1","",7,1946
"41",1855,"The same country that created and funded ISIS also funds Hamas as well. Do you know who that is?",1,"1","",7,1164
